month,year,iso_code,string_mean,incidence_mean,cabinet_name,share_seats,weighted_lr,weighted_sm,weighted_la,ICU,debt_share_on_gdp
03,20,BEL,50.4936666666667,1.29210333333333,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,56.5,103
03,20,BGR,49.971,0.0024,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,59.5,24
03,20,CYP,47.0353333333333,0.176258695652174,Anastasiades IV,32.1428571428572,8.6842,7.3684,5,34.1,96
03,20,CZE,58.796,0.079215,Babis II,46.5,5.52359677419355,6.10372580645161,3.70424193548387,42.5,35
03,20,DEU,49.567,0.199903333333333,Merkel V,56.2764456981664,5.25131353383459,5.38904436090226,5.80048646616541,62.1,64
03,20,DNK,54.0113333333333,0.0258983333333333,Frederiksen,26.8156424581006,3.8011,3.5292,4.2722,24.6,35
03,20,ESP,53.0863333333333,0.301713333333333,Sanchez III,44.2857142857143,3.18725161290323,3.42049032258065,3.03089032258064,23.9,98
03,20,EST,35.37,0.131923333333333,Ratas II,56.4356435643564,5.12032280701754,5.01419122807018,5.87941052631579,36.7,9
03,20,FRA,66.7726666666667,1.11584666666667,Philippe II,80.5892547660312,6.35802516129032,6.61301462365591,4.63930086021505,42.8,97
03,20,GBR,37.484,0.0603233333333333,Johnson II,56.1538461538462,7.4261,7.5725,7.1901,22.8,88
03,20,GRC,55.832,0.00784,Mitsotakis Kyr,52.6666666666667,6.7365,6.9754,6.6712,34.6,182
03,20,HRV,51.668,0.00243666666666667,Plenkovic II,46.3576158940397,6.42860285714286,5.81457,6.26439142857143,39.9,78
03,20,HUN,49.5046666666667,0.00286034482758621,Orban IV,66.8341708542714,6.64627368421053,3.77536315789474,7.62404135338346,42.9,74
03,20,IRL,41.0503333333333,0.182946666666667,Varadkar II,21.875,6.4372,6.1603,5.787,24,69
03,20,ITA,84.479,2.03458666666667,Conte II,56.031746031746,3.45557847025496,3.57405099150142,3.35569858356941,27.5,132
03,20,LTU,52.159,0.00244666666666667,Skvernelis III,58.1560283687943,3.52919268292683,3.81823414634146,5.78376097560976,63.4,40
03,20,LUX,51.6043333333333,0.495233333333333,Bettel II,51.6666666666667,4.3336064516129,4.58402903225807,1.72328709677419,41.1,23
03,20,MLT,48.7953333333333,0,Abela,55.2238805970149,4.2105,5.1128,6.3158,33.4,51
03,20,NLD,48.3626666666667,1.15233,Rutte V,50.6666666666667,6.20784736842105,6.45616710526316,4.58411710526316,33.2,57
03,20,PRT,46.546,0.199895,Costa II,46.9565217391304,4.0492,4.2716,3.5411,32.5,126
03,20,ROU,54.289,0.033965,Orban II,20.9726443768997,6.0543,7.245,3.5474,40.3,37
03,20,SVK,53.2716666666667,0,Matovic,63.3333333333333,7.2821052631579,6.38947368421053,6.37368421052632,49.1,51
03,20,SVN,47.5913333333333,0.205226666666667,Jansa III,52.2222222222222,5.95058510638298,4.97395319148936,6.14936382978724,42.3,74
03,20,SWE,36.2653333333333,0.37049,Lofven III,33.2378223495702,3.43562413793104,3.54082413793104,4.17574827586207,23.4,41
04,20,BEL,81.48,5.73976166666667,Wilmes II,25.3333333333333,6.49759473684211,6.86646315789474,5.00024210526316,56.5,103
04,20,BGR,72.2866666666667,0.229078333333333,Borisov III,50.8333333333333,7.70983606557377,6.28934426229508,7.33196721311475,59.5,24
04,20,CYP,93.515,0.624991666666667,Anastasiades IV,32.1428571428572,8.6842,7.3684,5,34.1,96
04,20,CZE,68.4573333333333,0.405896666666667,Babis II,46.5,5.52359677419355,6.10372580645161,3.70424193548387,42.5,35
