country,cabinet,share,lr_pg,la_pg,sm_pg,lr_ch,la_ch,sm_ch,wave1_stringency,wave2_stringency,wave3_stringency,intensive_care_units,wave1_inc,wave2_inc,wave3_inc,debt_share_on_gdp
DEU,Merkel V,56.1538461538462,5.25300751879699,5.79496240601504,5.38135338345865,5.40796992481203,5.34676691729323,5.2081954887218,66.1688181818182,68.6192156862745,75.0292,2.59,8.10260454545455,21.3435326797386,20.2889356060606,64
ESP,Sanchez III,44.2857142857143,3.18129032258065,3.02322580645161,3.41290322580645,3.22290322580645,2.56870967741936,3.42290322580645,77.1131868131868,62.5971978021978,67.9728795811518,2.5,3.18483516483516,9.81353296703297,17.6741590909091,98
GBR,Johnson II,56.031746031746,7.42,7.19,7.57,7.12,6.17,7.06,70.5408928571429,67.3702272727273,76.6714110429448,1.97,11.4956339285714,6.72976136363636,15.4188404907975,88
ITA,Conte II,56.2764456981664,3.45507082152975,3.3543342776204,3.57325779036827,4.14940509915014,3.14946175637394,3.23974504249292,78.4001941747573,72.2746153846154,78.643025210084,6.02,17.3433640776699,20.8037884615385,20.409015625,132
SWE,Lofven III,33.2378223495702,3.43034482758621,4.17379310344828,3.5351724137931,3.79862068965517,4.02103448275862,4.0951724137931,59.0737426900585,61.2436363636364,65.7124113475177,2.54,13.1061198830409,9.60685714285714,13.8045939597315,41
